source,target,name
CWE-674,CWE-776,ParentOf
CWE-799,CWE-837,ParentOf
CWE-693,CWE-1039,ParentOf
CWE-693,CWE-1248,ParentOf
CWE-693,CWE-1253,ParentOf
CWE-693,CWE-1269,ParentOf
CWE-693,CWE-1278,ParentOf
CWE-693,CWE-1291,ParentOf
CWE-693,CWE-1318,ParentOf
CWE-693,CWE-1319,ParentOf
CWE-693,CWE-1326,ParentOf
CWE-693,CWE-1338,ParentOf
CWE-693,CWE-182,ParentOf
CWE-693,CWE-184,ParentOf
CWE-693,CWE-311,ParentOf
CWE-693,CWE-326,ParentOf
CWE-693,CWE-327,ParentOf
CWE-693,CWE-330,ParentOf
CWE-693,CWE-345,ParentOf
CWE-693,CWE-357,ParentOf
CWE-693,CWE-602,ParentOf
CWE-693,CWE-757,ParentOf
CWE-693,CWE-807,ParentOf
CWE-330,CWE-1204,ParentOf
CWE-330,CWE-1241,ParentOf
CWE-330,CWE-331,ParentOf
CWE-330,CWE-334,ParentOf
CWE-330,CWE-335,ParentOf
CWE-330,CWE-338,ParentOf
CWE-330,CWE-340,ParentOf
CWE-330,CWE-344,ParentOf
CWE-1204,CWE-329,ParentOf
CWE-327,CWE-1240,ParentOf
CWE-327,CWE-328,ParentOf
CWE-327,CWE-780,ParentOf
CWE-345,CWE-1293,ParentOf
CWE-345,CWE-346,ParentOf
CWE-345,CWE-347,ParentOf
CWE-345,CWE-348,ParentOf
CWE-345,CWE-349,ParentOf
CWE-345,CWE-351,ParentOf
CWE-345,CWE-352,ParentOf
CWE-345,CWE-353,ParentOf
CWE-345,CWE-354,ParentOf
CWE-345,CWE-360,ParentOf
CWE-345,CWE-494,ParentOf
CWE-345,CWE-616,ParentOf
CWE-345,CWE-646,ParentOf
CWE-345,CWE-649,ParentOf
CWE-345,CWE-924,ParentOf
CWE-346,CWE-1385,ParentOf
CWE-184,CWE-692,ParentOf
CWE-311,CWE-312,ParentOf
CWE-311,CWE-319,ParentOf
CWE-312,CWE-313,ParentOf
CWE-312,CWE-314,ParentOf
CWE-312,CWE-315,ParentOf
CWE-312,CWE-316,ParentOf
CWE-312,CWE-317,ParentOf
CWE-312,CWE-318,ParentOf
CWE-312,CWE-526,ParentOf
CWE-319,CWE-5,ParentOf
CWE-319,CWE-614,ParentOf
CWE-344,CWE-323,ParentOf
CWE-328,CWE-916,ParentOf
CWE-331,CWE-332,ParentOf
CWE-331,CWE-333,ParentOf
CWE-334,CWE-6,ParentOf
CWE-335,CWE-336,ParentOf
CWE-335,CWE-337,ParentOf
CWE-335,CWE-339,ParentOf
CWE-340,CWE-341,ParentOf
CWE-340,CWE-342,ParentOf
CWE-340,CWE-343,ParentOf
CWE-357,CWE-450,ParentOf
CWE-916,CWE-759,ParentOf
CWE-916,CWE-760,ParentOf
CWE-697,CWE-1023,ParentOf
CWE-697,CWE-1024,ParentOf
CWE-697,CWE-1025,ParentOf
CWE-697,CWE-1077,ParentOf
CWE-697,CWE-183,ParentOf
CWE-697,CWE-185,ParentOf
CWE-1023,CWE-187,ParentOf
CWE-1023,CWE-478,ParentOf
CWE-1023,CWE-839,ParentOf
CWE-1025,CWE-486,ParentOf
CWE-1025,CWE-595,ParentOf
CWE-185,CWE-186,ParentOf
CWE-185,CWE-625,ParentOf
CWE-595,CWE-597,ParentOf
CWE-625,CWE-777,ParentOf
CWE-756,CWE-12,ParentOf
CWE-756,CWE-7,ParentOf
CWE-1384,CWE-1247,ParentOf
CWE-1384,CWE-1261,ParentOf
CWE-1384,CWE-1332,ParentOf
CWE-1384,CWE-1351,ParentOf
CWE-703,CWE-1384,ParentOf
CWE-703,CWE-754,ParentOf
CWE-703,CWE-755,ParentOf
CWE-754,CWE-252,ParentOf
CWE-754,CWE-273,ParentOf
CWE-754,CWE-391,ParentOf
CWE-754,CWE-394,ParentOf
CWE-252,CWE-690,ParentOf
CWE-755,CWE-274,ParentOf
CWE-755,CWE-280,ParentOf
CWE-755,CWE-390,ParentOf
CWE-755,CWE-392,ParentOf
CWE-755,CWE-544,ParentOf
CWE-755,CWE-756,ParentOf
CWE-694,CWE-102,ParentOf
CWE-694,CWE-462,ParentOf
CWE-1173,CWE-105,ParentOf
CWE-1173,CWE-106,ParentOf
CWE-1173,CWE-108,ParentOf
CWE-1173,CWE-109,ParentOf
CWE-1173,CWE-1174,ParentOf
CWE-1173,CWE-554,ParentOf
CWE-1286,CWE-112,ParentOf
CWE-93,CWE-113,ParentOf
CWE-707,CWE-116,ParentOf
CWE-707,CWE-138,ParentOf
CWE-707,CWE-170,ParentOf
CWE-707,CWE-172,ParentOf
CWE-707,CWE-20,ParentOf
CWE-707,CWE-228,ParentOf
CWE-707,CWE-463,ParentOf
CWE-707,CWE-74,ParentOf
CWE-116,CWE-117,ParentOf
CWE-116,CWE-644,ParentOf
CWE-116,CWE-838,ParentOf
CWE-20,CWE-1173,ParentOf
CWE-20,CWE-1284,ParentOf
CWE-20,CWE-1285,ParentOf
CWE-20,CWE-1286,ParentOf
CWE-20,CWE-1287,ParentOf
CWE-20,CWE-1288,ParentOf
CWE-20,CWE-1289,ParentOf
CWE-20,CWE-622,ParentOf
CWE-74,CWE-1236,ParentOf
CWE-74,CWE-75,ParentOf
CWE-74,CWE-77,ParentOf
CWE-74,CWE-79,ParentOf
CWE-74,CWE-91,ParentOf
CWE-74,CWE-93,ParentOf
CWE-74,CWE-94,ParentOf
CWE-74,CWE-943,ParentOf
CWE-74,CWE-99,ParentOf
CWE-1284,CWE-606,ParentOf
CWE-1285,CWE-129,ParentOf
CWE-1285,CWE-781,ParentOf
CWE-240,CWE-130,ParentOf
CWE-94,CWE-1336,ParentOf
CWE-94,CWE-95,ParentOf
CWE-94,CWE-96,ParentOf
CWE-138,CWE-140,ParentOf
CWE-138,CWE-147,ParentOf
CWE-138,CWE-148,ParentOf
CWE-138,CWE-149,ParentOf
CWE-138,CWE-150,ParentOf
CWE-138,CWE-151,ParentOf
CWE-138,CWE-152,ParentOf
CWE-138,CWE-153,ParentOf
CWE-138,CWE-154,ParentOf
CWE-138,CWE-155,ParentOf
CWE-138,CWE-156,ParentOf
CWE-138,CWE-157,ParentOf
CWE-138,CWE-158,ParentOf
CWE-138,CWE-159,ParentOf
CWE-138,CWE-160,ParentOf
CWE-138,CWE-162,ParentOf
CWE-138,CWE-164,ParentOf
CWE-138,CWE-464,ParentOf
CWE-138,CWE-790,ParentOf
CWE-140,CWE-141,ParentOf
CWE-140,CWE-142,ParentOf
CWE-140,CWE-143,ParentOf
CWE-140,CWE-144,ParentOf
CWE-140,CWE-145,ParentOf
CWE-140,CWE-146,ParentOf
CWE-147,CWE-626,ParentOf
CWE-159,CWE-166,ParentOf
CWE-159,CWE-167,ParentOf
CWE-159,CWE-168,ParentOf
CWE-160,CWE-161,ParentOf
CWE-162,CWE-163,ParentOf
CWE-164,CWE-165,ParentOf
CWE-172,CWE-173,ParentOf
CWE-172,CWE-175,ParentOf
CWE-172,CWE-176,ParentOf
CWE-172,CWE-177,ParentOf
CWE-228,CWE-229,ParentOf
CWE-228,CWE-233,ParentOf
CWE-228,CWE-237,ParentOf
CWE-228,CWE-241,ParentOf
CWE-229,CWE-230,ParentOf
CWE-229,CWE-231,ParentOf
CWE-229,CWE-232,ParentOf
CWE-233,CWE-234,ParentOf
CWE-233,CWE-235,ParentOf
CWE-233,CWE-236,ParentOf
CWE-237,CWE-238,ParentOf
CWE-237,CWE-239,ParentOf
CWE-237,CWE-240,ParentOf
CWE-89,CWE-564,ParentOf
CWE-914,CWE-621,ParentOf
CWE-914,CWE-627,ParentOf
CWE-77,CWE-624,ParentOf
CWE-77,CWE-78,ParentOf
CWE-77,CWE-88,ParentOf
CWE-77,CWE-917,ParentOf
CWE-99,CWE-641,ParentOf
CWE-99,CWE-694,ParentOf
CWE-99,CWE-914,ParentOf
CWE-943,CWE-643,ParentOf
CWE-943,CWE-652,ParentOf
CWE-943,CWE-89,ParentOf
CWE-943,CWE-90,ParentOf
CWE-75,CWE-76,ParentOf
CWE-79,CWE-80,ParentOf
CWE-79,CWE-81,ParentOf
CWE-79,CWE-83,ParentOf
CWE-79,CWE-84,ParentOf
CWE-79,CWE-85,ParentOf
CWE-79,CWE-86,ParentOf
CWE-79,CWE-87,ParentOf
CWE-790,CWE-791,ParentOf
CWE-791,CWE-792,ParentOf
CWE-791,CWE-795,ParentOf
CWE-792,CWE-793,ParentOf
CWE-792,CWE-794,ParentOf
CWE-795,CWE-796,ParentOf
CWE-795,CWE-797,ParentOf
